idx,image_filename,question,answer,image_path
1422,CLEVR_train_000142.png,What number of things are small metallic balls or green objects that are behind the large yellow thing?,2,images/CLEVR_train_000142.png
2372,CLEVR_train_000237.png,Is there a gray thing of the same shape as the green object?,no,images/CLEVR_train_000237.png
4112,CLEVR_train_000411.png,How many things are either shiny objects that are behind the red cube or tiny red rubber things?,3,images/CLEVR_train_000411.png
5152,CLEVR_train_000515.png,What number of other things are the same color as the large rubber thing?,1,images/CLEVR_train_000515.png
8732,CLEVR_train_000873.png,Is there any other thing that has the same size as the purple thing?,yes,images/CLEVR_train_000873.png
10243,CLEVR_train_001024.png,There is a big ball that is behind the big blue matte cube in front of the metal thing behind the small cyan block; what color is it?,yellow,images/CLEVR_train_001024.png
13103,CLEVR_train_001310.png,Do the tiny green matte thing and the matte object that is behind the red thing have the same shape?,no,images/CLEVR_train_001310.png
20453,CLEVR_train_002045.png,What is the color of the ball that is made of the same material as the tiny cylinder?,purple,images/CLEVR_train_002045.png
27033,CLEVR_train_002703.png,Is the small brown rubber object the same shape as the red metallic object?,no,images/CLEVR_train_002703.png
31553,CLEVR_train_003155.png,What number of objects are cyan objects behind the cylinder or cyan shiny objects?,1,images/CLEVR_train_003155.png
